customerID,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Charges,Charges_Monthly,Charges_Total
0017-IUDMW,No,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),"{'Monthly': 116.8, 'Total': '8456.75'}",116.8,8456.75
0018-NYROU,No,Female,0,Yes,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,"{'Monthly': 68.95, 'Total': '351.5'}",68.95,351.5
0019-EFAEP,No,Female,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),"{'Monthly': 101.3, 'Total': '7261.25'}",101.3,7261.25
0019-GFNTW,No,Female,0,No,No,56,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),"{'Monthly': 45.05, 'Total': '2560.1'}",45.05,2560.1
0020-INWCK,No,Female,0,Yes,Yes,71,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),"{'Monthly': 95.75, 'Total': '6849.4'}",95.75,6849.4
0020-JDNXP,No,Female,0,Yes,Yes,34,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Mailed check,"{'Monthly': 61.25, 'Total': '1993.2'}",61.25,1993.2
0021-IKXGC,No,Female,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,"{'Monthly': 72.1, 'Total': '72.1'}",72.1,72.1
0022-TCJCI,Yes,Male,1,No,No,45,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,No,Credit card (automatic),"{'Monthly': 62.7, 'Total': '2791.5'}",62.7,2791.5
0023-HGHWL,Yes,Male,1,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,"{'Monthly': 25.1, 'Total': '25.1'}",25.1,25.1
0023-UYUPN,No,Female,1,Yes,No,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,"{'Monthly': 25.2, 'Total': '1306.3'}",25.2,1306.3
0023-XUOPT,Yes,Female,0,Yes,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,"{'Monthly': 94.1, 'Total': '1215.6'}",94.1,1215.6
0027-KWYKW,No,Female,0,Yes,Yes,23,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,"{'Monthly': 83.75, 'Total': '1849.95'}",83.75,1849.95
0030-FNXPP,No,Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,"{'Monthly': 19.85, 'Total': '57.2'}",19.85,57.2
0031-PVLZI,Yes,Female,0,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,"{'Monthly': 20.35, 'Total': '76.35'}",20.35,76.35
0032-PGELS,Yes,Female,0,Yes,Yes,1,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),"{'Monthly': 30.5, 'Total': '30.5'}",30.5,30.5
0036-IHMOT,No,Female,0,Yes,Yes,55,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),"{'Monthly': 103.7, 'Total': '5656.75'}",103.7,5656.75
0040-HALCW,No,Male,0,Yes,Yes,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),"{'Monthly': 20.4, 'Total': '1090.6'}",20.4,1090.6
0042-JVWOJ,No,Male,0,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),"{'Monthly': 19.6, 'Total': '471.85'}",19.6,471.85
0042-RLHYP,No,Female,0,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),"{'Monthly': 19.7, 'Total': '1396.9'}",19.7,1396.9
0048-LUMLS,No,Male,0,Yes,Yes,37,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),"{'Monthly': 91.2, 'Total': '3247.55'}",20.45,900.9
0048-PIHNL,No,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),"{'Monthly': 20.45, 'Total': '900.9'}",115.8,7942.15
0052-DCKON,No,Male,0,Yes,No,66,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),"{'Monthly': 115.8, 'Total': '7942.15'}",20.55,1343.4
0052-YNYOT,No,Female,0,No,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,"{'Monthly': 20.55, 'Total': '1343.4'}",39.4,825.4
0056-EPFBG,No,Male,0,Yes,Yes,20,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),"{'Monthly': 39.4, 'Total': '825.4'}",25.1,1070.15
0057-QBUQH,No,Female,0,No,Yes,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,"{'Monthly': 25.1, 'Total': '1070.15'}",89.8,4959.6
0058-EVZWM,No,Female,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),"{'Monthly': 89.8, 'Total': '4959.6'}",94.75,5597.65
0060-FUALY,No,Female,0,Yes,No,59,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,"{'Monthly': 94.75, 'Total': '5597.65'}",20.3,224.5
0064-SUDOG,No,Female,0,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),"{'Monthly': 20.3, 'Total': '224.5'}",75.75,1929
0064-YIJGF,No,Male,0,Yes,Yes,27,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),"{'Monthly': 75.75, 'Total': '1929'}",49.25,91.1
0067-DKWBL,Yes,Male,1,No,No,2,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,"{'Monthly': 49.25, 'Total': '91.1'}",78.2,2078.95
0068-FIGTF,No,Female,0,No,No,27,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Mailed check,"{'Monthly': 78.2, 'Total': '2078.95'}",25.5,630.6
0071-NDAFP,No,Male,0,Yes,Yes,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),"{'Monthly': 25.5, 'Total': '630.6'}",61.6,1611
0074-HDKDG,No,Male,0,Yes,Yes,25,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),"{'Monthly': 61.6, 'Total': '1611'}",45.0,1242.45
0076-LVEPS,No,Male,0,No,Yes,29,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,"{'Monthly': 45.0, 'Total': '1242.45'}",85.15,6316.2
0078-XZMHT,No,Male,0,Yes,No,72,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),"{'Monthly': 85.15, 'Total': '6316.2'}",51.45,727.85
0080-EMYVY,No,Female,0,No,No,14,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Credit card (automatic),"{'Monthly': 51.45, 'Total': '727.85'}",99.25,3532
0080-OROZO,No,Female,0,No,No,35,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,"{'Monthly': 99.25, 'Total': '3532'}",44.3,44.3
0082-LDZUE,No,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,"{'Monthly': 44.3, 'Total': '44.3'}",94.2,2607.6
0082-OQIQY,No,Male,0,No,No,29,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,"{'Monthly': 94.2, 'Total': '2607.6'}",81.25,5567.55
0083-PIVIK,No,Male,0,No,No,64,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,No,Electronic check,"{'Monthly': 81.25, 'Total': '5567.55'}",99.95,3767.4
0089-IIQKO,No,Female,0,Yes,Yes,39,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),"{'Monthly': 99.95, 'Total': '3767.4'}",91.55,3673.6
0093-EXYQL,No,Female,1,No,No,40,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,"{'Monthly': 91.55, 'Total': '3673.6'}",104.5,4036.85
0093-XWZFY,Yes,Male,0,No,No,40,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),"{'Monthly': 104.5, 'Total': '4036.85'}",95.0,1120.3
0094-OIFMO,Yes,Female,1,No,No,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,"{'Monthly': 95.0, 'Total': '1120.3'}",50.35,314.55
0096-BXERS,No,Female,0,Yes,No,6,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,"{'Monthly': 50.35, 'Total': '314.55'}",64.5,1888.45
0096-FCPUF,No,Male,0,No,No,30,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,"{'Monthly': 64.5, 'Total': '1888.45'}",19.4,529.8
0098-BOWSO,No,Male,0,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,"{'Monthly': 19.4, 'Total': '529.8'}",104.8,7308.95
0100-DUVFC,No,Male,1,Yes,No,70,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,"{'Monthly': 104.8, 'Total': '7308.95'}",109.4,6252.7
0103-CSITQ,No,Female,0,Yes,No,57,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),"{'Monthly': 109.4, 'Total': '6252.7'}",50.3,2878.55
0104-PPXDV,No,Male,0,Yes,No,58,Yes,No,DSL,No,No,Yes,No,No,No,One year,No,Credit card (automatic),"{'Monthly': 50.3, 'Total': '2878.55'}",71.4,1212.1
0106-GHRQR,No,Male,0,No,No,16,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),"{'Monthly': 71.4, 'Total': '1212.1'}",116.0,8182.85
0106-UGRDO,No,Female,0,Yes,No,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,"{'Monthly': 116.0, 'Total': '8182.85'}",19.85,19.85
0107-WESLM,Yes,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,"{'Monthly': 19.85, 'Total': '19.85'}",99.75,99.75
0107-YHINA,Yes,Male,0,No,Yes,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,"{'Monthly': 99.75, 'Total': '99.75'}",93.95,2861.45
0111-KLBQG,No,Male,1,Yes,Yes,32,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,"{'Monthly': 93.95, 'Total': '2861.45'}",90.8,1442.2
0112-QAWRZ,No,Male,0,Yes,Yes,16,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),"{'Monthly': 90.8, 'Total': '1442.2'}",84.35,4059.35
0112-QWPNC,Yes,Male,0,Yes,No,49,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,"{'Monthly': 84.35, 'Total': '4059.35'}",58.25,4145.9
0114-IGABW,No,Female,0,Yes,No,71,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),"{'Monthly': 58.25, 'Total': '4145.9'}",107.55,3645.5
0114-PEGZZ,No,Female,0,No,No,33,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,"{'Monthly': 107.55, 'Total': '3645.5'}",19.95,187.75
0114-RSRRW,No,Female,0,Yes,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),"{'Monthly': 19.95, 'Total': '187.75'}",111.2,2317.1
0115-TFERT,Yes,Male,0,Yes,No,21,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,"{'Monthly': 111.2, 'Total': '2317.1'}",40.2,1448.8
0117-LFRMW,Yes,Male,0,Yes,Yes,37,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),"{'Monthly': 40.2, 'Total': '1448.8'}",85.8,2193.65
0118-JPNOY,No,Female,1,No,No,26,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),"{'Monthly': 85.8, 'Total': '2193.65'}",35.4,1748.9
0121-SNYRK,No,Male,0,No,No,50,No,No phone service,DSL,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,"{'Monthly': 35.4, 'Total': '1748.9'}",88.1,5526.75
0122-OAHPZ,Yes,Female,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,"{'Monthly': 73.85, 'Total': '511.25'}",101.35,1553.95
0123-CRBRT,No,Female,0,Yes,Yes,61,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,"{'Monthly': 88.1, 'Total': '5526.75'}",45.8,1147
0125-LZQXK,Yes,Male,0,No,No,15,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,"{'Monthly': 101.35, 'Total': '1553.95'}",94.65,6747.35
0128-MKWSG,No,Female,0,No,Yes,26,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,"{'Monthly': 45.8, 'Total': '1147'}",20.5,865.05
0129-KPTWJ,No,Male,0,Yes,No,72,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,"{'Monthly': 94.65, 'Total': '6747.35'}",89.4,5976.9
0129-QMPDR,No,Male,0,Yes,Yes,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),"{'Monthly': 20.5, 'Total': '865.05'}",86.25,181.65
0130-SXOUN,No,Male,0,No,No,66,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),"{'Monthly': 89.4, 'Total': '5976.9'}",74.85,3268.05
0133-BMFZO,Yes,Female,0,No,No,2,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,"{'Monthly': 86.25, 'Total': '181.65'}",89.75,1052.4
0134-XWXCE,No,Female,1,No,No,44,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),"{'Monthly': 74.85, 'Total': '3268.05'}",109.95,7634.25
0135-NMXAP,Yes,Female,0,No,No,12,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),"{'Monthly': 89.75, 'Total': '1052.4'}",80.2,80.2
0136-IFMYD,No,Male,1,Yes,No,69,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,"{'Monthly': 109.95, 'Total': '7634.25'}",19.85,63.75
0137-OCGAB,Yes,Female,0,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,"{'Monthly': 80.2, 'Total': '80.2'}",90.35,190.5
0137-UDEUO,Yes,Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,"{'Monthly': 19.85, 'Total': '63.75'}",86.45,2401.05
0139-IVFJG,No,Female,0,Yes,No,2,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,"{'Monthly': 90.35, 'Total': '190.5'}",20.3,511.25
0141-YEAYS,No,Female,1,No,No,27,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),"{'Monthly': 86.45, 'Total': '2401.05'}",101.25,3949.15
0142-GVYSN,No,Male,0,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,"{'Monthly': 20.3, 'Total': '511.25'}",94.7,2362.1
0147-ESWWR,No,Female,1,Yes,No,39,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,"{'Monthly': 101.25, 'Total': '3949.15'}",70.9,70.9
0148-DCDOS,Yes,Male,0,No,No,25,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),"{'Monthly': 94.7, 'Total': '2362.1'}",54.2,1152.7
0151-ONTOV,Yes,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,"{'Monthly': 70.9, 'Total': '70.9'}",114.9,8496.7
0156-FVPTA,Yes,Male,0,Yes,No,22,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,"{'Monthly': 54.2, 'Total': '1152.7'}",86.85,1564.4
0164-APGRB,No,Female,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,"{'Monthly': 114.9, 'Total': '8496.7'}",109.9,3694.7
0164-XAIRP,No,Female,0,No,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),"{'Monthly': 19.55, 'Total': '470.2'}",19.95,58
0168-XZKBB,No,Female,0,Yes,No,19,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,"{'Monthly': 86.85, 'Total': '1564.4'}",87.2,4017.45
0174-QRVVY,No,Male,0,Yes,Yes,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),"{'Monthly': 25.35, 'Total': '1847.55'}",108.15,6825.65
0177-PXBAT,No,Male,1,Yes,No,33,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),"{'Monthly': 109.9, 'Total': '3694.7'}",116.3,8309.55
0178-CIIKR,No,Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,"{'Monthly': 19.95, 'Total': '58'}",89.0,605.45
0178-SZBHO,No,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,"{'Monthly': 87.2, 'Total': '4017.45'}",74.4,1972.35
0181-RITDD,No,Male,0,Yes,Yes,62,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,"{'Monthly': 108.15, 'Total': '6825.65'}",20.05,33.7
0186-CAERR,No,Male,0,No,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),"{'Monthly': 116.3, 'Total': '8309.55'}",35.05,844.45
0187-QSXOE,No,Male,1,Yes,No,7,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,"{'Monthly': 89.0, 'Total': '605.45'}",74.75,2111.3
0187-WZNAB,No,Female,0,Yes,Yes,27,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,"{'Monthly': 74.4, 'Total': '1972.35'}",105.5,6205.5
0188-GWFLE,No,Male,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,"{'Monthly': 20.05, 'Total': '33.7'}",85.25,855.3
0191-EQUUH,No,Female,0,No,Yes,25,No,No phone service,DSL,Yes,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),"{'Monthly': 35.05, 'Total': '844.45'}",75.2,633.85
0191-ZHSKZ,No,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,"{'Monthly': 74.75, 'Total': '2111.3'}",84.35,474.9
0193-ESZXP,Yes,Female,1,Yes,No,58,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),"{'Monthly': 105.5, 'Total': '6205.5'}",84.45,5848.6
0195-IESCP,Yes,Male,0,Yes,No,10,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,"{'Monthly': 85.25, 'Total': '855.3'}",102.4,6471.85
0196-JTUQI,No,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),"{'Monthly': 75.2, 'Total': '633.85'}",115.55,8127.6
0196-VULGZ,Yes,Female,1,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,"{'Monthly': 84.35, 'Total': '474.9'}",25.3,676.35
0197-PNKNK,No,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Bank transfer (automatic),"{'Monthly': 84.45, 'Total': '5848.6'}",19.25,864.2
0201-MIBOL,No,Female,1,No,No,66,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),"{'Monthly': 102.4, 'Total': '6471.85'}",114.65,6049.5
0201-OAMXR,Yes,Female,0,No,No,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),"{'Monthly': 115.55, 'Total': '8127.6'}",105.1,1582.75
0203-HHYIJ,Yes,Male,0,No,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),"{'Monthly': 25.3, 'Total': '676.35'}",19.4,198.1
0206-OYVOC,No,Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,"{'Monthly': 19.25, 'Total': '864.2'}",50.35,1098.85
0206-TBWLC,No,Female,0,Yes,No,54,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,"{'Monthly': 114.65, 'Total': '6049.5'}",57.8,4039.3
0207-MDKNV,Yes,Female,0,No,No,15,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,"{'Monthly': 105.1, 'Total': '1582.75'}",84.3,2438.6
0208-BPQEJ,No,Female,0,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),"{'Monthly': 19.4, 'Total': '198.1'}",100.55,7113.75
0212-ISBBF,No,Female,0,No,No,22,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,"{'Monthly': 50.35, 'Total': '1098.85'}",19.8,576.65
0214-JHPFW,No,Female,0,Yes,No,70,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),"{'Monthly': 57.8, 'Total': '4039.3'}",84.8,371.9
0215-BQKGS,No,Male,0,No,No,30,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),"{'Monthly': 84.3, 'Total': '2438.6'}",85.85,167.3
0218-QNVAS,No,Male,0,Yes,Yes,71,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Bank transfer (automatic),"{'Monthly': 100.55, 'Total': '7113.75'}",19.95,219.5
0219-QAERP,No,Male,0,Yes,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),"{'Monthly': 19.8, 'Total': '576.65'}",75.35,273.4
0219-YTZUE,Yes,Male,0,Yes,Yes,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),"{'Monthly': 84.8, 'Total': '371.9'}",48.8,2555.05
